Year,Measure Names,Measure Values
1995,Total Operating Expense,73936.49355
1994,Total Operating Expense,72671.47874
1993,Total Operating Expense,71857.24625
1992,Total Operating Expense,70104.84565
1991,Total Operating Expense,66980.63123
1990,Total Operating Expense,68272.29829
1989,Total Operating Expense,59337.84062
1988,Total Operating Expense,53856.95239
1987,Total Operating Expense,49115.33886
1986,Total Operating Expense,43976.36474
1985,Total Operating Expense,43238.10751
1984,Total Operating Expense,40044.48527
1983,Total Operating Expense,36835.6752
1982,Total Operating Expense,35566.25018
1981,Total Operating Expense,34838.63676
1980,Total Operating Expense,32139.80741
1979,Total Operating Expense,26202.5302
1978,Total Operating Expense,20924.49445
1977,Total Operating Expense,18548.97147
2021,Other Expense*,75292.156
2020,Other Expense*,64874.54825
2019,Other Expense*,86685.11109
2018,Other Expense*,83548.1649
2017,Other Expense*,78354.94925
2016,Other Expense*,74653.16879
2015,Other Expense*,72064.24524
2014,Other Expense*,73913.74792
2013,Other Expense*,72836.66137
2012,Other Expense*,70720.0621
2011,Other Expense*,71733.06079
2010,Other Expense*,65759.53454
2009,Other Expense*,63987.5997
2008,Other Expense*,73245.90635
2007,Other Expense*,66624.57402
2006,Other Expense*,64049.22351
2005,Other Expense*,62634.50788
2004,Other Expense*,57549.17235
2003,Other Expense*,48998.14429
2002,Other Expense*,47186.10494
2001,Other Expense*,52996.33656
2000,Other Expense*,51019.66116
1999,Other Expense*,48801.54088
1998,Other Expense*,46140.53988
1997,Other Expense*,44461.17808
1996,Other Expense*,42578.17077
1995,Other Expense*,40042.99
1994,Other Expense*,39715.01891
1993,Other Expense*,39146.12692
1992,Other Expense*,37895.18965
1991,Other Expense*,35671.56172
1990,Other Expense*,35090.10049
1989,Other Expense*,31399.86853
1988,Other Expense*,28532.44694
1987,Other Expense*,25186.63054
1986,Other Expense*,21898.36087
1985,Other Expense*,19604.81921
1984,Other Expense*,17177.91629
1983,Other Expense*,14764.11869
1982,Other Expense*,13574.72104
1981,Other Expense*,12534.21746
1980,Other Expense*,11394.95048
1979,Other Expense*,9960.302291
1978,Other Expense*,8315.245363
1977,Other Expense*,7449.610387
2021,Labor Expense,49771.83179
2020,Labor Expense,47036.15873
2019,Labor Expense,56770.79563
2018,Labor Expense,52659.94334
2017,Labor Expense,50305.79771
2016,Labor Expense,46707.86783
2015,Labor Expense,42642.27141
2014,Labor Expense,38289.32445
2013,Labor Expense,35787.20672
2012,Labor Expense,35630.17466
2011,Labor Expense,33333.81329
2010,Labor Expense,32276.23542
2009,Labor Expense,31026.39456
2008,Labor Expense,30798.01096
2007,Labor Expense,31045.19965
2006,Labor Expense,30337.9476
2005,Labor Expense,31158.89938
2004,Labor Expense,33847.7025
2003,Labor Expense,34147.88689
2002,Labor Expense,35653.32972
2001,Labor Expense,36260.7955
2000,Labor Expense,34490.10625
1999,Labor Expense,31393.63599
1998,Labor Expense,29424.57012
1997,Labor Expense,27930.86653
1996,Labor Expense,26476.79448
1995,Labor Expense,25457.29729
1994,Labor Expense,24743.56681
1993,Labor Expense,23929.72411
1992,Labor Expense,23085.72191
1991,Labor Expense,21751.39035
1990,Labor Expense,21543.0733
1989,Labor Expense,19437.18915
1988,Labor Expense,17845.37005
1987,Labor Expense,16398.4211
1986,Labor Expense,15127.10201
1985,Labor Expense,14350.71897
1984,Labor Expense,13544.91977
1983,Labor Expense,13112.68762
1982,Labor Expense,12348.17133
1981,Labor Expense,12124.37428
1980,Labor Expense,11301.49643
1979,Labor Expense,9974.888406
1978,Labor Expense,8569.217569
1977,Labor Expense,7481.103285
2021,Fuel Expense,22296.78881
2020,Fuel Expense,11875.68438
2019,Fuel Expense,31990.33784
2018,Fuel Expense,33619.73827
2017,Fuel Expense,25267.7996
2016,Fuel Expense,21672.30857
2015,Fuel Expense,26174.39331
2014,Fuel Expense,42472.73554
2013,Fuel Expense,41662.8665
2012,Fuel Expense,43987.13902
2011,Fuel Expense,42712.49578
2010,Fuel Expense,32314.0789
2009,Fuel Expense,27419.10646
2008,Fuel Expense,47945.32549
2007,Fuel Expense,33876.8373
2006,Fuel Expense,31539.19736
2005,Fuel Expense,27221.36099
2004,Fuel Expense,18712.51466
2003,Fuel Expense,12852.73022
2002,Fuel Expense,10959.21871
2001,Fuel Expense,13119.55869
2000,Fuel Expense,14099.1312
1999,Fuel Expense,9020.375801
1998,Fuel Expense,8342.469689
1997,Fuel Expense,10300.74445
1996,Fuel Expense,10311.25616
1995,Fuel Expense,8436.206267
1994,Fuel Expense,8212.893024
1993,Fuel Expense,8781.395224
1992,Fuel Expense,9123.934086
1991,Fuel Expense,9557.679161
1990,Fuel Expense,11639.12451
1989,Fuel Expense,8500.782942
1988,Fuel Expense,7479.135396
1987,Fuel Expense,7530.287216
1986,Fuel Expense,6950.901865
1985,Fuel Expense,9282.569334
1984,Fuel Expense,9321.649209
1983,Fuel Expense,8958.86889
1982,Fuel Expense,9643.357811
